feature,importance
char_ù÷_,0.0009460198176548773
char_all,0.0009447050903698097
char_of ,0.0009416443660926312
char_ r,0.0009363998882362176
char_ in,0.0009339563342284046
char_am,0.0009334360961364442
char_//,0.0009326963979095291
char_ n,0.0009321842979775473
char_tps,0.0009287233369981992
char_ir,0.0009281789612336237
char_do,0.0009256782448659228
char_or ,0.0009234427451697019
char_be,0.0009208277419549464
char_as,0.0009183310026994805
char_ps,0.0009120447074810669
char_/t.c,0.0009115014322787811
char_for,0.0009106590701206355
char_ow,0.000910446966114423
char_ ha,0.000909246646325237
char_us,0.0009057900592587489
char_rs,0.0009036755249674938
char_po,0.0009019677655950969
char_you,0.0008961722418141621
char_s://,0.0008950109386972887
char_://t,0.0008896302269108431
char_e.,0.0008877479627462813
char_es ,0.0008875423636375453
char_oo,0.000886000193508608
char_ ht,0.0008828508992191632
char_io,0.000881747481802054
char_ so,0.0008812254572985695
char_t.c,0.0008799448092896671
char_ed ,0.0008790862986355838
char_st ,0.0008724960502700542
char_ttps,0.0008721208310226629
char_ly ,0.0008700879773496932
char_to ,0.0008698388271156941
char_ts,0.0008614984884381801
char_ay,0.000857729003432159
char_gu,0.0008574848447173355
char_ps:/,0.0008558905579866196
char_ttp,0.000851716528718821
char_da,0.0008504747370448382
char_- ,0.0008452152468673123
char_ of ,0.0008449275506056146
you,0.0008448281775977167
char_un,0.0008445282095283175
char_av,0.0008377845527025732
char_nt,0.0008350933651835341
char_os,0.0008325045152281822
char_i'm,0.0008292473748404998
char_in ,0.0008277710447375289
char_//t.,0.0008247435191915041
char_ i'm,0.0008239073204300256
char_ li,0.0008227922949058703
char__ùª,0.0008223942310400987
char_ga,0.0008211049508742612
char_i'm ,0.0008207959992693129
char_ca,0.00081892888357153
char_ll ,0.0008145237668639776
char_ j,0.0008138999308862037
char_ma,0.0008079983703145972
char_ta,0.0008042274628819321
char_fo,0.0008032143697531973
char_tps:,0.0008022274880269591
char_ol,0.0007988691174661591
char_ad,0.0007986065281292827
char_wa,0.0007970734869033558
char_ome,0.0007941619243442644
char_i',0.000791581306965402
char_game,0.0007909028118831847
char_love,0.0007898088165030329
char_ur,0.0007895920381457868
char_w ,0.0007888096690509842
char_om,0.0007876306648253689
char_bo,0.0007874565146740225
char_u ,0.0007856511940661678
char_we,0.0007856364136158342
char_ig,0.000780046028869073
for,0.0007799311113043318
char_op,0.0007793947584258983
char__,0.0007773167715345916
char_ps:,0.0007755518141349327
char_:/,0.0007736172075675051
char_ri,0.0007734232180701916
char_bu,0.0007671449394260454
char_go,0.0007667189128590891
char_ve ,0.0007654438186822435
char_ge,0.0007636633182111438
char_ie,0.0007626077761058483
char_ho,0.0007625010214691392
char_e. ,0.0007613663251912751
char_eve,0.000760791303527658
char_wi,0.0007571574253371792
char_ -,0.0007563603603585418
char_s.,0.0007552876427971574
char_hat,0.0007541496515467106
char_ou ,0.0007502809092528024
char_ go,0.000748683228731295
char_is ,0.000748656895678716
char_ de,0.0007470197993045692
char_ey,0.0007457177588231656
char_ke,0.0007446915809047011
char_em,0.0007428450922949861
char_si,0.0007425245667461404
char_://,0.0007421329110851056
char_ec,0.0007402164731589612
char_pa,0.0007299406666148242
char_pl,0.0007297150208567331
char_gh,0.0007296628576552305
char_ow ,0.0007296341260331942
char__ù÷â,0.0007295264208340358
char_lov,0.0007293145562675422
char_ba,0.0007284230025177648
char_ be,0.000727297991067969
char_//t,0.0007204044864182518
char_ac,0.0007192340853185112
on,0.0007181728827381925
char_mi,0.0007173751333030002
char_ on ,0.0007148411406578013
char_sh,0.0007116400144333054
char_ wa,0.0007107104660283019
char_ver,0.000708424816819586
char_ for,0.0007082455331182867
char_! ,0.0007040912230745191
char___ù,0.0007027148251314672
char_ lo,0.0007015201912471164
char_ove,0.0007015084254647933
char_ tha,0.0006983834067968773
char_'m,0.0006970674889970869
so,0.0006947343329752858
char_aye,0.0006896079724447071
char_wo,0.0006876639931052314
char_mo,0.0006858872998635812
char_ wo,0.0006833685177130333
char_ü,0.0006830966378051157
char_ùõ,0.0006823175047903564
char_her,0.0006817321186994476
char_od,0.0006799315574377275
char_ss,0.0006792993854111755
char_ith,0.0006759170280044724
char_s:/,0.0006708922537424758
char_pe,0.0006698219118247536
char_ in ,0.0006677656817039791
char_ent,0.0006677257605715342
char_ere,0.0006661685939153121
char_thi,0.0006657701170382234
char_ill,0.0006617674979310481
char_for ,0.000659985042629687
char_ thi,0.0006549546826618559
char_ld ,0.0006548124278523133
char_wit,0.0006527086458037825
it,0.0006520117455728657
in,0.0006515078102256363
char_you ,0.0006511045024541896
char_ever,0.0006508599361345401
char_ st,0.0006500409038117235
char_ wh,0.000646699855503274
char_ u,0.0006464637659254816
char__ù÷_,0.0006449169387148542
char_ ca,0.0006446062173710218
char_girl,0.0006442831058458277
char_pr,0.0006432909996018132
char__ ,0.0006412144309242268
char_le ,0.0006395374643060731
char_se ,0.0006369660575938025
char_ev,0.0006368302747463511
char_ he,0.0006367614475276168
char_are,0.0006350249946979747
char_wh,0.0006348876980335331
char_man,0.0006347703761226572
char_th ,0.0006329668489220866
char_ess,0.0006295031292777114
char_fu,0.0006292800193755724
char_an ,0.0006280280310204022
char_ry,0.0006260512080004989
char_hat ,0.0006221985443355994
char_fi,0.0006212935720837785
char_im,0.0006208677149407109
char_ur ,0.0006203337226154961
char_ we,0.0006201120397103852
char_ot ,0.0006198908062591622
char_ re,0.0006166975402694177
char_ ge,0.0006165192079023436
char_et ,0.0006153217419300704
char_ter,0.0006135471769587228
char_fl,0.0006133556061634179
char_..,0.0006131321982016576
char_ts ,0.0006129665490762073
char_ell,0.0006129533777161214
char_ally,0.0006120000980175648
char_lin,0.0006118894058761126
char_sa,0.0006116893882230456
char_ ch,0.0006113483794416044
char_rk,0.0006112614443430507
char_ do,0.0006105359074310392
char_ ev,0.000609342281119203
char_if,0.0006091263127915247
char_gi,0.0006046649688726227
char_ust,0.0006008959119336294
char_ ma,0.0006004165170346311
char_ave ,0.0005995247332888115
char_ay ,0.0005966947575717028
char_our,0.0005962360357352497
char_ it ,0.0005946893947561419
her,0.0005934445379173111
char_bl,0.0005925976895798012
char_rea,0.0005925621774468272
char_ wi,0.0005917404259498434
char_nn,0.0005909385965104066
char_tu,0.0005906297046596113
